,Unnamed: 0_x,id,firstname,lastname,age,nationality,height,weight,injured,teamID,teamname,appearences,lineups,minutes,position,rating,captain,subIn,subOut,bench,totalShots,shotsOn,totalGoals,goalsConceded,goalAssists,goalSaves,totalPasses,keyPasses,passAccuracy,totalTackles,blocks,interceptions,duelsTotal,duelsWon,dribbleAttempts,dribblesSuccess,dribblesPast,foulsDrawn,foulsCommitted,cardsYel,cardsYelRed,cardsRed,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,season,Unnamed: 0_y,name,Unnamed: 0,Standings,Played,Wins,Draw,Lost,GoalsFor,GoalsAgainst,GoalDifference,Points
13,13,114884,Zat,Knight,41.0,England,198 cm,86 kg,False,36,Fulham,0.0,0.0,0.0,Defender,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
14,14,114896,Danny,Higginbotham,43.0,Gibraltar,185 cm,77 kg,False,41,Southampton,3.0,1.0,115.0,Defender,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
15,15,118128,Marcus,Allbäck,48.0,Sweden,180 cm,79 kg,False,66,AstonVilla,2.0,2.0,180.0,Attacker,,False,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
16,16,208998,Stephen,McPhail,42.0,Republic of Ireland,173 cm,77 kg,False,63,LeedsUnited,1.0,0.0,44.0,Midfielder,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
17,17,231004,John,Oster,43.0,Wales,175 cm,67 kg,False,746,Sunderland,1.0,0.0,44.0,Midfielder,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
18,18,231288,Kevin,Lisbie,43.0,Jamaica,178 cm,69 kg,False,1335,Charlton,2.0,2.0,174.0,Attacker,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
19,19,232646,Jonathan,Fortune,41.0,England,188 cm,76 kg,False,1335,Charlton,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
20,20,45024,Andrew,Davies,36.0,England,188 cm,82 kg,False,70,Middlesbrough,0.0,0.0,0.0,Defender,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
21,21,83131,Wes,Brown,39.0,England,185 cm,77 kg,False,33,ManchesterUnited,2.0,2.0,130.0,Defender,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
22,22,87896,Paul,Konchesky,40.0,England,178 cm,69 kg,False,1335,Charlton,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
23,23,90517,Paul,Robinson,42.0,England,193 cm,90 kg,False,63,LeedsUnited,2.0,2.0,180.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
24,24,105166,Nils-Eric,Johansson,41.0,Sweden,187 cm,83 kg,False,67,BlackburnRovers,2.0,0.0,47.0,Defender,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
25,25,114811,Jason,Roberts,43.0,Grenada,185 cm,92 kg,False,60,WestBromwichAlbion,1.0,1.0,90.0,Attacker,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
26,26,115964,Jonathan,Greening,42.0,England,180 cm,70 kg,False,70,Middlesbrough,2.0,2.0,136.0,Midfielder,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
27,27,115966,Andy,O'Brien,42.0,Republic of Ireland,191 cm,74 kg,False,34,NewcastleUnited,1.0,1.0,90.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
28,28,115975,Maik,Taylor,50.0,Northern Ireland,193 cm,90 kg,False,36,Fulham,2.0,2.0,180.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
29,29,115985,Steven,Caldwell,41.0,Scotland,180 cm,72 kg,False,34,NewcastleUnited,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
30,30,117530,Michael,Chopra,38.0,England,175 cm,76 kg,False,34,NewcastleUnited,1.0,0.0,9.0,Attacker,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
31,31,118905,Darren,Purse,44.0,England,188 cm,79 kg,False,54,BirminghamCity,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
32,32,225949,Henrik,Pedersen,46.0,Denmark,185 cm,84 kg,False,68,BoltonWanderers,2.0,2.0,145.0,Attacker,,False,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
33,33,230906,Darren,Ambrose,37.0,England,183 cm,78 kg,False,34,NewcastleUnited,1.0,0.0,15.0,Midfielder,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
34,34,230939,Ian,Bennett,50.0,England,183 cm,80 kg,False,54,BirminghamCity,2.0,2.0,180.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
35,35,230940,Martin,Taylor,42.0,England,193 cm,95 kg,False,67,BlackburnRovers,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
36,36,231008,Trésor,Lomana LuaLua,41.0,Congo DR,178 cm,73 kg,False,34,NewcastleUnited,1.0,1.0,81.0,Attacker,,False,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
37,37,231014,Sean,Davis,42.0,England,178 cm,76 kg,False,36,Fulham,2.0,2.0,173.0,Midfielder,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
38,38,231357,Nick,Chadwick,39.0,England,183 cm,,False,45,Everton,1.0,0.0,15.0,Attacker,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
39,39,233992,Jamie,Clapham,46.0,England,175 cm,68 kg,False,54,BirminghamCity,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
40,40,44863,Aaron,Hughes,42.0,Northern Ireland,183 cm,70 kg,False,34,NewcastleUnited,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
41,41,44968,Matthew,Kilgallon,36.0,England,188 cm,80 kg,False,63,LeedsUnited,1.0,0.0,4.0,Defender,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
42,42,82017,Chris,Baird,39.0,Northern Ireland,185 cm,74 kg,False,41,Southampton,2.0,1.0,153.0,Defender,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
43,43,82255,Brian,Jensen,46.0,Denmark,185 cm,78 kg,False,60,WestBromwichAlbion,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
44,44,82446,Jay,McEveley,36.0,Scotland,186 cm,84 kg,False,67,BlackburnRovers,2.0,2.0,133.0,Defender,,False,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
45,45,90491,Glen,Johnson,37.0,England,182 cm,78 kg,False,48,WestHamUnited,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
46,46,103165,Shaun,Wright-Phillips,40.0,England,168 cm,64 kg,False,50,ManchesterCity,2.0,2.0,180.0,Midfielder,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
47,47,114743,Kevin,Nolan,39.0,England,180 cm,88 kg,False,68,BoltonWanderers,2.0,0.0,21.0,Midfielder,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
48,48,114765,Jussi,Jääskeläinen,46.0,Finland,191 cm,81 kg,False,68,BoltonWanderers,2.0,2.0,180.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
49,49,114825,Carlo,Cudicini,48.0,Italy,186 cm,79 kg,False,49,Chelsea,2.0,2.0,180.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
50,50,114879,Wayne,Bridge,41.0,England,180 cm,68 kg,False,41,Southampton,3.0,3.0,270.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
51,51,115984,Dean,Kiely,51.0,Republic of Ireland,185 cm,79 kg,False,1335,Charlton,2.0,2.0,120.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
52,52,117424,Peter,Enckelman,44.0,Finland,188 cm,89 kg,False,66,AstonVilla,1.0,1.0,90.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
53,53,117956,Juan Sebastián,Verón,46.0,Argentina,186 cm,81 kg,False,33,ManchesterUnited,1.0,0.0,21.0,Midfielder,,False,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
54,54,118910,Barry,Hayles,49.0,Jamaica,175 cm,83 kg,False,36,Fulham,2.0,0.0,10.0,Attacker,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
55,55,231007,Mauricio,Taricco,48.0,Argentina,175 cm,73 kg,False,47,TottenhamHotspur,3.0,3.0,241.0,Defender,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
56,56,231255,Jason,Koumas,42.0,Wales,178 cm,74 kg,False,60,WestBromwichAlbion,2.0,2.0,180.0,Midfielder,,False,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
57,57,231415,Jon,Harley,42.0,England,178 cm,73 kg,False,36,Fulham,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
58,58,232314,Osei,Sankofa,36.0,England,,,False,1335,Charlton,1.0,0.0,17.0,Defender,,False,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
59,59,233571,Elvis,Hammond,41.0,Ghana,,,False,36,Fulham,2.0,1.0,70.0,Attacker,,False,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
60,60,19609,John,O'Shea,38.0,Republic of Ireland,191 cm,75 kg,False,33,ManchesterUnited,2.0,2.0,136.0,Defender,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
61,61,32138,Massimo,Maccarone,41.0,Italy,180 cm,78 kg,False,70,Middlesbrough,2.0,1.0,90.0,Attacker,,False,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
62,62,82198,Matt,Oakley,44.0,England,178 cm,70 kg,False,41,Southampton,3.0,2.0,214.0,Midfielder,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
63,63,114758,Carlton,Cole Okirie,38.0,England,191 cm,78 kg,False,49,Chelsea,2.0,0.0,28.0,Attacker,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
64,64,114764,Rio,Ferdinand,43.0,England,189 cm,82 kg,False,33,ManchesterUnited,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
65,65,114787,John Arne,Semundseth Riise,41.0,Norway,185 cm,77 kg,False,40,Liverpool,2.0,2.0,165.0,Defender,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
66,66,114788,George,McCartney,40.0,Northern Ireland,183 cm,79 kg,False,746,Sunderland,1.0,0.0,46.0,Defender,,False,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
67,67,114794,Carlo,Nash,48.0,England,197 cm,89 kg,False,50,ManchesterCity,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
68,68,114815,Michael,Owen,42.0,England,173 cm,70 kg,False,40,Liverpool,2.0,2.0,180.0,Attacker,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
69,69,114819,Jamie,Carragher,43.0,England,185 cm,83 kg,False,40,Liverpool,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
70,70,114873,Jody,Craddock,46.0,England,185 cm,78 kg,False,746,Sunderland,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
71,71,115977,Edwin,van der Sar,51.0,Netherlands,197 cm,84 kg,False,36,Fulham,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
72,72,116023,Tomasz,Radziński,48.0,Canada,174 cm,75 kg,False,45,Everton,1.0,1.0,84.0,Attacker,,False,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
73,73,118052,Anders,Svensson,45.0,Sweden,177 cm,77 kg,False,41,Southampton,3.0,3.0,196.0,Midfielder,,False,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
74,74,167494,James Ashley,Chambers,41.0,England,178 cm,74 kg,False,60,WestBromwichAlbion,2.0,2.0,171.0,Defender,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
75,75,226005,Mikkel,Bischoff,39.0,Denmark,193 cm,85 kg,False,50,ManchesterCity,0.0,0.0,0.0,Defender,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
76,76,230994,Andy,Griffin,42.0,England,173 cm,68 kg,False,34,NewcastleUnited,1.0,1.0,90.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
77,77,233864,Russell,Hoult,49.0,England,193 cm,93 kg,False,60,WestBromwichAlbion,2.0,2.0,180.0,Goalkeeper,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
78,78,233875,Robert,Burch,38.0,England,188 cm,82 kg,False,47,TottenhamHotspur,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
79,79,234123,Mark,Crossley,52.0,Wales,191 cm,100 kg,False,70,Middlesbrough,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
80,80,296,James Philip,Milner,36.0,England,175 cm,70 kg,False,63,LeedsUnited,0.0,0.0,0.0,Midfielder,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
81,81,1758,Jermain Colin,Defoe,40.0,England,171 cm,65 kg,False,48,WestHamUnited,2.0,2.0,180.0,Attacker,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
82,82,17387,Joseph,Murphy,41.0,Republic of Ireland,188 cm,80 kg,False,60,WestBromwichAlbion,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
83,83,19238,Stewart,Downing,37.0,England,180 cm,64 kg,False,70,Middlesbrough,2.0,0.0,56.0,Midfielder,,False,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
84,84,44297,Bradley Scott,Jones,40.0,Australia,194 cm,76 kg,False,70,Middlesbrough,0.0,0.0,0.0,Goalkeeper,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
85,85,66078,Milan,Baroš,40.0,Czech Republic,183 cm,83 kg,False,40,Liverpool,2.0,2.0,180.0,Attacker,,False,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
86,86,71190,Richie,Ryan,37.0,Republic of Ireland,178 cm,77 kg,False,746,Sunderland,1.0,0.0,44.0,Midfielder,,False,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
87,87,87295,Steed,Malbranque,42.0,France,171 cm,75 kg,False,36,Fulham,2.0,2.0,177.0,Midfielder,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
88,88,88760,Efstathios,Tavlaridis,41.0,Greece,186 cm,81 kg,False,42,Arsenal,1.0,0.0,14.0,Defender,,False,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
89,89,102748,Joe,Cole,40.0,England,175 cm,63 kg,False,48,WestHamUnited,2.0,2.0,178.0,Midfielder,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
90,90,113755,David,Beckham,46.0,England,183 cm,77 kg,False,33,ManchesterUnited,2.0,2.0,180.0,Midfielder,,False,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
91,91,113807,Edouard,Cissé,43.0,France,186 cm,76 kg,False,48,WestHamUnited,0.0,0.0,0.0,Midfielder,,False,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
92,92,113811,Djimi,Traoré,41.0,Mali,190 cm,83 kg,False,40,Liverpool,2.0,2.0,180.0,Defender,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
93,93,115962,El-Hadji Ousseynou,Diouf,40.0,Senegal,180 cm,75 kg,False,40,Liverpool,2.0,2.0,141.0,Attacker,,False,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,02/03,29,Thierry Henry,,,,,,,,,,
